"BirdID","LastFPIDNatal_Translocation"
5541,0
5510,0
5520,0
5527,0
5326,0
5785,1
5773,1
5123,0
5784,0
5832,0
5827,0
5830,0
5831,0
5852,0
5636,0
5768,0
5771,0
5849,0
5777,0
5778,0
6013,0
5844,0
5848,0
5905,0
5772,0
6031,0
5906,0
6020,0
6021,0
6023,0
6037,0
6062,0
6180,0
6153,0
6140,0
6142,0
6147,0
6149,0
6150,0
6239,0
6240,0
6205,0
6209,0
6268,0
6273,0
6549,0
6560,0
6564,0
6573,0
6571,0
7077,0
7079,0
7080,0
7097,0
7074,0
6777,0
7086,0
7096,0
7084,0
6926,0
6886,0
6859,0
7071,0
6909,0
6910,0
7091,0
6884,0
7144,0
7116,0
7131,0
7132,0
7133,0
5538,0
1660,0
1877,0
2968,0
5173,0
5290,0
5517,0
5543,0
5596,0
5600,0
5686,1
5748,0
5770,0
5843,0
5901,0
6015,0
6026,0
1042,0
1494,0
1605,0
1607,0
1669,0
1678,0
1698,1
1707,0
1710,1
1722,0
1729,0
1731,1
1750,0
1762,1
1763,0
1801,0
1819,0
1821,0
1824,0
1826,0
1852,1
1864,1
1869,0
2960,1
2966,1
2978,0
2986,0
2990,0
2991,1
3085,0
3087,0
3089,0
3094,0
3451,0
3453,1
3456,0
3462,0
3486,0
3490,0
3497,0
3518,0
3519,0
3567,0
3594,0
3595,0
3606,0
3608,0
3643,0
3694,0
3699,0
4803,0
4860,0
4861,0
4883,0
4885,0
4887,0
4890,0
4892,0
4896,0
4904,0
4933,0
4939,0
4941,0
4947,0
4954,0
4957,0
4961,0
4964,0
4965,0
4999,0
5000,0
5009,0
5072,0
5163,0
5195,0
5197,0
5217,0
5235,0
5237,0
5249,0
5262,0
5267,0
5275,0
5283,0
5285,0
5291,0
5292,0
5313,0
5319,0
5321,0
5323,0
5333,0
5334,0
5337,0
5338,0
5339,0
5447,0
5450,0
5453,0
5456,0
5462,0
5497,0
5498,0
5508,0
5511,0
5513,0
5514,0
5516,0
5518,0
5519,0
5521,0
5522,0
5523,0
5525,0
5529,0
5530,0
5532,0
5533,0
5534,0
5536,0
5537,0
5539,0
5542,0
5545,0
5549,0
5559,0
5561,0
5562,0
5573,0
5575,0
5582,0
5584,0
5585,0
5586,0
5588,0
5590,0
5595,1
5597,0
5604,0
5605,0
5606,0
5607,0
5608,0
5612,0
5613,0
5618,0
5621,0
5624,1
5625,0
5626,0
5630,1
5634,0
5638,0
5639,0
5641,0
5642,0
5643,0
5648,0
5650,0
5652,0
5653,0
5657,0
5658,0
5678,0
5682,0
5683,0
5685,0
5749,1
5750,0
5765,0
5766,0
5769,0
5774,0
5775,0
5776,0
5779,0
5780,0
5782,0
5787,0
5820,0
5821,0
5822,0
5823,0
5824,0
5825,0
5826,0
5828,0
5829,0
5833,0
5834,0
5835,0
5837,0
5838,0
5839,0
5841,0
5842,1
5846,0
5847,0
5850,0
5851,0
5853,0
5854,0
5855,0
5902,0
5903,0
5904,0
5908,0
5909,0
6009,0
6010,0
6011,0
6012,0
6014,0
6016,0
6017,0
6018,0
6024,0
6027,0
6028,0
6029,0
6030,0
6033,0
6034,0
6045,0
6047,0
6048,0
6050,0
6065,0
6067,0
6138,0
6141,0
6155,0
6158,0
6160,0
6166,0
6169,0
6170,0
6175,0
6181,0
6185,0
6186,0
6196,0
6199,0
6213,0
6219,0
6221,0
6230,0
6261,0
6267,0
6272,0
6279,0
6309,0
6312,0
6313,0
6374,0
6378,0
6382,0
6384,0
6385,0
6546,0
6548,0
6552,0
6554,0
6556,0
6557,0
6563,0
6565,0
6566,0
6568,0
6645,0
6660,0
6673,0
6690,0
6693,0
6697,0
6764,0
6780,0
6831,0
6836,0
6845,0
6857,0
6863,0
6865,0
6877,0
6900,0
7094,0
