"BirdID","NoTranslocationEvents","TranslocationYN"
"6546",NA,"N"
"6549",NA,"N"
"6552",NA,"N"
"6554",NA,"N"
"6556",NA,"N"
"6557",NA,"N"
"6560",NA,"N"
"6563",NA,"N"
"6564",NA,"N"
"6565",NA,"N"
"6566",NA,"N"
"6568",NA,"N"
"6571",NA,"N"
"6573",NA,"N"
"6645",NA,"N"
"6660",NA,"N"
"6673",NA,"N"
"6690",NA,"N"
"6693",NA,"N"
"6697",NA,"N"
"6764",NA,"N"
"6777",NA,"N"
"6780",NA,"N"
"6831",NA,"N"
"6836",NA,"N"
"6857",NA,"N"
"6859",NA,"N"
"6863",NA,"N"
"6865",NA,"N"
"6877",NA,"N"
"6884",NA,"N"
"6886",NA,"N"
"6900",NA,"N"
"6909",NA,"N"
"6910",NA,"N"
"6926",NA,"N"
"7071",NA,"N"
"7074",NA,"N"
"7077",NA,"N"
"7079",NA,"N"
"7080",NA,"N"
"7084",NA,"N"
"7086",NA,"N"
"7091",NA,"N"
"7094",NA,"N"
"7096",NA,"N"
"7097",NA,"N"
"7116",NA,"N"
"7131",NA,"N"
"7132",NA,"N"
"7133",NA,"N"
"7144",NA,"N"
