"LastFPIDNatalYear","BirdID","InsectDensity"
2013,5855,3.127143292
2013,5173,3.127143292
2013,5829,3.127143292
2013,5846,3.127143292
2013,6031,3.127143292
2013,5821,3.127143292
2013,5780,3.127143292
2013,6015,3.127143292
2013,6009,3.127143292
2013,6034,3.127143292
2013,5853,3.127143292
2013,6010,3.127143292
2013,1660,3.127143292
2013,6048,3.127143292
2013,6018,3.127143292
2013,5650,3.127143292
2013,5750,3.127143292
2013,5822,3.127143292
2013,6020,3.127143292
2013,6028,3.127143292
2013,6181,3.127143292
2013,5769,3.127143292
2013,6029,3.127143292
2013,6030,3.127143292
2013,5820,3.127143292
2013,5825,3.127143292
2014,5841,4.199879045
2014,6047,4.199879045
2014,6141,4.199879045
2014,5596,4.199879045
2014,6067,4.199879045
2014,6196,4.199879045
2014,6026,4.199879045
2014,5850,4.199879045
2014,5908,4.199879045
2014,6065,4.199879045
2014,6312,4.199879045
2014,6016,4.199879045
2014,5748,4.199879045
2014,6011,4.199879045
2014,6033,4.199879045
2014,6050,4.199879045
2014,5843,4.199879045
2014,6180,4.199879045
2014,6153,4.199879045
2014,6160,4.199879045
2015,5517,3.987349657
2015,6149,3.987349657
2015,6150,3.987349657
2015,6213,3.987349657
2015,6147,3.987349657
2015,6175,3.987349657
2015,6166,3.987349657
2015,6170,3.987349657
2015,6199,3.987349657
2015,6239,3.987349657
2015,6012,3.987349657
2015,5909,3.987349657
2015,6240,3.987349657
2015,6566,3.987349657
2015,6660,3.987349657
2015,6273,3.987349657
2015,6272,3.987349657
2015,6309,3.987349657
2015,6549,3.987349657
2015,6185,3.987349657
2015,6142,3.987349657
2015,6140,3.987349657
2015,6230,3.987349657
2015,6209,3.987349657
2015,6158,3.987349657
2015,6221,3.987349657
2015,6556,3.987349657
2015,6552,3.987349657
2015,6169,3.987349657
2015,6045,3.987349657
2015,6155,3.987349657
2015,6219,3.987349657
2015,6205,3.987349657
2015,6565,3.987349657
2015,6268,3.987349657
2015,6138,3.987349657
2015,6267,3.987349657
2016,6690,3.570935273
2016,6378,3.570935273
2016,6385,3.570935273
2016,6564,3.570935273
2016,6384,3.570935273
2016,6568,3.570935273
2016,6382,3.570935273
2016,6261,3.570935273
2016,6186,3.570935273
2016,6374,3.570935273
2016,6557,3.570935273
2016,6279,3.570935273
2016,6548,3.570935273
2016,6546,3.570935273
2016,6573,3.570935273
2016,6563,3.570935273
2016,6554,3.570935273
2016,6560,3.570935273
2017,5600,11.27021182
2017,6697,11.27021182
2017,5543,11.27021182
2017,6645,11.27021182
2017,6693,11.27021182
2017,6313,11.27021182
2017,6673,11.27021182
2018,6571,2.708627279
2018,6836,2.708627279
2018,6845,2.708627279
2018,6764,2.708627279
2018,6857,2.708627279
2019,7077,4.15266459
2019,7094,4.15266459
2019,7084,4.15266459
2019,6877,4.15266459
