"BirdID","Distance","NatalTerritorySize","DisperseTerritorySize"
"1750",73.3757453113766,2144,887
"5618",515.460958754395,3945,1602
"3606",337.544071196636,1650,1510
"5497",47,3677,2068
"5606",44.7213595499958,1318,1815
"3518",377.486423596929,1790,2081
"5653",431.885401466639,1206,2541
"5824",350.201370642663,2219,2541
"3643",95,1783,1107
"5624",76.6550715869472,3072,2628
"5841",37.7359245282264,2908,2725
"5582",59.9082632030006,2110,2150
"6012",45.1774279923061,3548,3114
"6186",275.513724703507,1994,2052
"6384",61.7738132095029,2945,2052
"5559",104.694794521982,1983,1705
"5516",110.54863183233,2261,2019
"5625",438.292140016223,3060,1663
"5820",156.208194407336,3405,1663
"5909",43.2983483916204,2161,1456
"3486",490.567018866943,887,1985
"5678",265.06791582536,1555,2004
"5652",220.12723593413,2126,2004
"6158",172.042697021535,2367,2143
"3519",47.6340214552582,2158,2043
"5462",50.0899191454728,2113,2013
"6645",44.362850449447,1890,1577
"4803",137.535449975634,1570,1991
"3694",90,1856,2105
"5639",133.150291024842,2143,1980
"6764",195.803351170737,1920,2174
"5522",29,1878,2241
"4965",224.802135221176,2655,1936
"5323",227.554389102913,1922,1936
"5643",41,1420,1983
"6552",62.6049564606313,2245,2198
"6313",43.0143208529174,1674,3022
"4933",116.914498673176,1267,1045
"1678",193.328735577513,2213,1772
"5291",74.4043009509531,3000,2968
"5826",63.2534584034739,1876,2512
"1607",200.800896412342,1315,2167
"4964",416.75052489469,2508,2521
"5604",76.8374908491942,1629,3134
"5621",213.859767137253,1612,3134
"6141",89.196412483911,2611,2050
"6155",68.5523207006237,3025,2050
"5456",519.399653446169,1959,1591
"5518",607.971216423936,1891,1591
"5650",100,1356,2188
"5908",49.2036584005702,4004,2188
"1801",144.89996549344,2589,2267
"6196",454.845028553682,1833,3310
"5605",64.621977685614,1922,1285
"5539",90.0222194794152,3369,1629
"5682",33,2064,938
"5775",177,2414,2376
"1494",557.896943888385,2030,1015
"5534",303.63794229312,1046,2226
"6170",442.140125554105,1765,3607
"6169",153.006178388325,2834,2302
"1869",333.677988485905,1903,1333
"5825",541.388030898357,1911,1342
"6566",134.820482494315,2504,1539
"4885",527.412551993219,2583,1434
"5338",60.00833275471,2771,2564
"6050",232.774569057704,2595,1572
"6312",83.5224520712844,2592,1572
"5000",105.621967412087,1706,1699
"4861",426.713018315589,1814,1563
"5217",184.271538768199,2706,1563
"5642",187.085541932026,2180,2842
