"BirdID","ObjectScore","OccasionDate","LastFPIDNatal","SecondLastFPIDNatal","NatalTerritory","SecondLastFPIDNatalPeriodStart","SecondLastFPIDNatalPeriodEnd","LastFPIDNatalPeriodStart","LastFPIDNatalPeriodEnd","Disperse","Prior_dispersal","Method","DispersalDate","DispersalMonth","DispersalMonth2","Status2","FieldPeriodID","PeriodStart","PeriodEnd","TerritoryID","Status","NatalStatus","NatalStatus2"
5235,69,2013-08-01,92,90,68,"2008-12-30","2009-03-03","2009-06-08","2009-09-18",1,"0","E","2010-02-07","Feb","W",1,104,"2010-06-30","2010-09-10",42,"BrM","H",2
5267,91,2013-08-17,87,85,101,"2008-01-08","2008-02-21","2008-07-10","2008-09-07",1,"0","E","2008-11-03","Nov","W",1,90,"2008-12-30","2009-03-03",2,"BrF","ABX",2
5291,63,2014-08-07,92,90,165,"2008-12-30","2009-03-03","2009-06-08","2009-09-18",1,"0","P","2010-08-16","Aug","S",1,104,"2010-06-30","2010-09-10",129,"BrM","ABX",2
5321,3,2013-09-02,92,90,60,"2008-12-30","2009-03-03","2009-06-08","2009-09-18",1,"0","E","2010-02-07","Feb","W",1,104,"2010-06-30","2010-09-10",57,"BrM","OFL",2
5334,13,2013-07-31,103,92,125,"2009-06-08","2009-09-18","2010-02-12","2010-03-19",1,"0","E","2010-05-09","May","S",1,104,"2010-06-30","2010-09-10",72,"BrM","ABX",2
5338,51,2013-07-14,103,92,178,"2009-06-08","2009-09-18","2010-02-12","2010-03-19",1,"0","E","2010-05-09","May","S",1,104,"2010-06-30","2010-09-10",155,"BrM","ABX",2
5508,0,2013-07-03,92,90,48,"2008-12-30","2009-03-03","2009-06-08","2009-09-18",1,"0","E","2010-02-07","Feb","W",1,104,"2010-06-30","2010-09-10",68,"BrM","CH",2
5513,19,2013-09-22,104,103,46,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",47,"BrM","AB",2
5514,43,2013-08-14,104,103,43,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",57,"BrF","AB",2
5522,93,2013-07-24,104,103,58,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",126,"BrM","ABX",2
5523,124,2013-06-29,104,103,58,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",60,"BrM","ABX",2
5525,139,2013-07-27,92,90,30,"2008-12-30","2009-03-03","2009-06-08","2009-09-18",1,"0","E","2010-02-07","Feb","W",2,104,"2010-06-30","2010-09-10",47,"AB","CH",2
5530,166,2014-02-20,104,103,172,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",82,"BrF","ABX",2
5536,20,2013-02-17,125,124,3,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"0","P","2011-07-18","Jul","S",1,105,"2011-06-25","2011-10-02",490,"BrF","H",2
5559,1,2013-08-10,103,92,173,"2009-06-08","2009-09-18","2010-02-12","2010-03-19",1,"0","E","2010-11-05","Nov","W",1,105,"2011-06-25","2011-10-02",111,"BrM","CH",2
5575,0,2013-07-30,104,103,74,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",531,"BrF","FL",2
5588,33,2013-09-26,105,104,13,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2011-11-27","Nov","W",1,112,"2012-01-22","2012-02-28",41,"BrM","ABX",2
5590,157,2013-02-24,105,104,2,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2011-11-27","Nov","W",1,112,"2012-01-22","2012-02-28",481,"BrM","CH",2
5597,1,2013-08-26,105,104,173,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2011-11-27","Nov","W",1,112,"2012-01-22","2012-02-28",79,"BrF","AB",2
5604,59,2013-06-22,104,103,14,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",2,105,"2011-06-25","2011-10-02",13,"ABX","CH",2
5612,9,2013-08-13,104,103,61,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",479,"BrM","CH",2
5613,31,2013-07-25,104,103,101,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",58,"BrF","CH",2
5618,56,2013-07-21,116,112,98,"2012-01-22","2012-02-28","2012-06-04","2012-09-30",1,"0","E","2012-11-26","Nov","W",1,118,"2013-01-22","2013-02-27",1,"BrF","ABX",2
5621,36,2013-09-15,104,103,515,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",13,"BrF","CH",2
5625,75,2013-02-22,105,104,165,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2011-11-27","Nov","W",1,112,"2012-01-22","2012-02-28",112,"BrF","ABX",2
5626,19,2013-09-24,104,103,90,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",77,"BrM","CH",2
5634,23,2013-02-16,105,104,59,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2011-11-27","Nov","W",1,112,"2012-01-22","2012-02-28",165,"BrF","ABX",2
5638,51,2013-07-11,105,104,140,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2011-11-27","Nov","W",1,112,"2012-01-22","2012-02-28",544,"BrM","OFL",2
5639,1,2013-08-22,105,104,118,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2011-11-27","Nov","W",1,112,"2012-01-22","2012-02-28",123,"BrM","OFL",2
5642,1,2013-08-01,104,103,26,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-05-17","May","S",1,112,"2012-01-22","2012-02-28",16,"BrF","CH",2
5643,173,2013-08-15,112,105,128,"2011-06-25","2011-10-02","2012-01-22","2012-02-28",1,"0","P","2012-07-01","Jul","S",1,116,"2012-06-04","2012-09-30",127,"BrM","ABX",2
5648,1,2013-08-18,105,104,128,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2012-08-09","Aug","S",2,122,"2013-06-18","2013-09-30",99,"ABX","FL",2
5652,86,2014-02-25,116,112,157,"2012-01-22","2012-02-28","2012-06-04","2012-09-30",1,"0","E","2013-08-08","Aug","S",1,125,"2014-06-16","2014-10-04",116,"BrF","ABX",2
5653,49,2013-07-09,105,104,40,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2012-05-28","May","S",1,118,"2013-01-22","2013-02-27",101,"BrF","FL",2
5683,3,2013-07-20,104,103,174,"2010-02-12","2010-03-19","2010-06-30","2010-09-10",1,"0","E","2011-02-01","Feb","W",1,105,"2011-06-25","2011-10-02",478,"BrF","CH",2
5749,19,2013-08-01,105,104,11,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","P","2012-02-03","Feb","W",1,112,"2012-01-22","2012-02-28",33,"BrF","CH",2
5750,31,2013-07-28,118,116,9,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"0","E","2013-04-23","Apr","W",1,122,"2013-06-18","2013-09-30",30,"BrF","ABX",2
5766,1,2013-02-14,116,112,68,"2012-01-22","2012-02-28","2012-06-04","2012-09-30",1,"0","P","2012-08-04","Aug","S",1,116,"2012-06-04","2012-09-30",34,"BrF","ABX",2
5769,83,2013-08-03,118,116,51,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"0","E","2013-04-23","Apr","W",2,122,"2013-06-18","2013-09-30",36,"ABX","ABX",2
5776,60,2013-02-15,105,104,160,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2011-11-27","Nov","W",1,112,"2012-01-22","2012-02-28",55,"BrM","CH",2
5780,11,2013-09-26,118,116,27,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"0","E","2013-04-23","Apr","W",1,122,"2013-06-18","2013-09-30",9,"BrM","ABX",2
5820,35,2013-02-22,118,116,88,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"1","E","2013-04-23","Apr","W",1,122,"2013-06-18","2013-09-30",112,"BrM","ABX",2
5822,14,2013-08-29,118,116,13,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"0","E","2013-04-23","Apr","W",2,122,"2013-06-18","2013-09-30",83,"ABX","ABX",2
5825,2,2013-08-27,118,116,2,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"0","E","2013-04-23","Apr","W",1,122,"2013-06-18","2013-09-30",154,"BrF","ABX",2
5826,2,2013-08-05,105,104,62,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","P","2012-07-12","Jul","S",2,116,"2012-06-04","2012-09-30",129,"ABX","CH",2
5829,31,2013-06-24,118,116,20,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"1","P","2013-07-11","Jul","S",1,122,"2013-06-18","2013-09-30",490,"BrM","ABX",2
5834,37,2014-08-03,118,116,2,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"0","E","2012-11-26","Nov","W",2,118,"2013-01-22","2013-02-27",50,"ABX","ABX",2
5838,47,2013-06-26,116,112,105,"2012-01-22","2012-02-28","2012-06-04","2012-09-30",1,"0","E","2013-02-07","Feb","W",1,122,"2013-06-18","2013-09-30",179,"BrF","OFL",2
5839,0,2014-06-22,118,116,36,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"0","P","2013-07-17","Jul","S",2,122,"2013-06-18","2013-09-30",407,"ABX","ABX",2
5847,37,2013-07-30,105,104,110,"2010-06-30","2010-09-10","2011-06-25","2011-10-02",1,"0","E","2012-02-02","Feb","W",1,116,"2012-06-04","2012-09-30",71,"BrM","CH",2
5853,9,2013-02-18,122,118,77,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"1","E","2014-02-06","Feb","W",1,125,"2014-06-16","2014-10-04",616,"BrM","H",2
5855,36,2013-06-30,122,118,479,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"1","E","2013-11-24","Nov","W",1,124,"2014-01-19","2014-03-04",53,"BrM","AB",2
5908,18,2013-02-16,124,122,165,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",1,"1","P","2014-06-22","Jun","S",1,125,"2014-06-16","2014-10-04",137,"BrM","ABX",2
5909,1,2013-02-18,139,125,477,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",112,"BrF","ABX",2
6009,0,2015-02-05,122,118,77,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"0","E","2013-11-24","Nov","W",1,124,"2014-01-19","2014-03-04",86,"BrF","H",2
6010,23,2013-06-30,122,118,53,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"1","E","2013-11-24","Nov","W",2,124,"2014-01-19","2014-03-04",45,"ABX","AB",2
6011,21,2013-07-06,125,124,13,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"1","P","2014-08-05","Aug","S",1,125,"2014-06-16","2014-10-04",43,"BrM","ABX",2
6012,109,2013-07-07,139,125,94,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","P","2015-01-23","Jan","W",1,139,"2015-01-16","2015-03-05",110,"BrM","H",2
6014,7,2013-07-16,116,112,121,"2012-01-22","2012-02-28","2012-06-04","2012-09-30",1,"0","E","2013-02-07","Feb","W",2,122,"2013-06-18","2013-09-30",59,"ABX","CH",2
6016,18,2013-07-20,125,124,478,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"1","E","2015-02-11","Feb","W",1,142,"2015-06-22","2015-09-29",9,"TBRM","ABX",2
6017,9,2013-07-20,116,112,479,"2012-01-22","2012-02-28","2012-06-04","2012-09-30",1,"0","E","2013-02-07","Feb","W",1,122,"2013-06-18","2013-09-30",53,"BrM","CH",2
6018,10,2013-07-22,122,118,3,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"1","E","2013-11-24","Nov","W",1,124,"2014-01-19","2014-03-04",75,"BrM","ABX",2
6024,9,2013-07-27,122,118,168,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"1","E","2013-11-24","Nov","W",1,124,"2014-01-19","2014-03-04",605,"BrM","ABX",2
6028,1,2013-08-04,122,118,14,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"1","E","2013-11-24","Nov","W",1,124,"2014-01-19","2014-03-04",407,"BrF","AB",2
6029,7,2013-08-04,118,116,480,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"1","E","2013-08-09","Aug","S",1,124,"2014-01-19","2014-03-04",72,"BrM","CH",2
6030,20,2013-08-10,118,116,111,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",1,"0","E","2013-08-09","Aug","S",1,124,"2014-01-19","2014-03-04",173,"BrM","CH",2
6033,1,2013-08-14,124,122,60,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",1,"1","E","2014-04-25","Apr","W",1,125,"2014-06-16","2014-10-04",68,"BrM","ABX",2
6034,1,2013-08-10,122,118,178,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"1","E","2014-02-06","Feb","W",1,125,"2014-06-16","2014-10-04",616,"BrF","ABX",2
6045,0,2013-09-25,139,125,481,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",20,"BrM","ABX",2
6047,66,2015-02-13,125,124,8,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"0","E","2014-11-25","Nov","W",2,139,"2015-01-16","2015-03-05",3,"ABX","ABX",2
6048,1,2014-02-01,122,118,129,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"1","E","2014-02-06","Feb","W",1,125,"2014-06-16","2014-10-04",59,"BrF","ABX",2
6050,30,2013-09-24,124,122,90,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",1,"1","E","2014-04-25","Apr","W",1,125,"2014-06-16","2014-10-04",155,"BrM","ABX",2
6065,0,2014-02-14,124,122,40,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",1,"1","P","2014-07-08","Jul","S",1,125,"2014-06-16","2014-10-04",83,"BrF","OFL",2
6067,23,2014-02-18,124,122,39,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",1,"1","E","2014-10-27","Oct","W",1,142,"2015-06-22","2015-09-29",633,"BrF","ABX",2
6138,0,2014-06-23,139,125,80,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",47,"BrF","ABX",2
6141,1,2014-06-21,125,124,9,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"1","E","2014-11-25","Nov","W",2,139,"2015-01-16","2015-03-05",13,"ABX","OFL",2
6158,27,2014-06-30,139,125,110,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",118,"BrM","ABX",2
6160,40,2015-02-27,125,124,34,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"0","E","2014-11-25","Nov","W",1,139,"2015-01-16","2015-03-05",26,"BrF","H",2
6166,96,2014-09-25,139,125,72,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",70,"BrM","ABX",2
6169,94,2016-02-20,142,139,101,"2015-01-16","2015-03-05","2015-06-22","2015-09-29",1,"0","E","2015-12-01","Dec","W",1,144,"2016-02-02","2016-03-09",140,"BrF","SBR",2
6170,0,2016-02-20,139,125,179,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"0","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",140,"BrM","ABX",2
6175,27,2014-07-18,139,125,88,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",99,"BrM","ABX",2
6181,1,2014-07-18,122,118,174,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"0","E","2014-02-06","Feb","W",1,125,"2014-06-16","2014-10-04",95,"BrF","CH",2
6185,5,2014-07-23,139,125,134,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",98,"BrF","ABX",2
6186,18,2014-07-23,144,142,159,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","P","2016-07-01","Jul","S",1,159,"2016-06-23","2016-09-19",110,"BrF","ABX",2
6196,50,2015-01-28,124,122,81,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",1,"0","E","2014-04-25","Apr","W",1,125,"2014-06-16","2014-10-04",138,"BrM","CH",2
6199,68,2015-02-07,139,125,179,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","P","2015-07-18","Jul","S",1,142,"2015-06-22","2015-09-29",16,"BrF","ABX",2
6213,6,2015-01-29,139,125,63,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",48,"BrM","ABX",2
6219,27,2015-02-07,139,125,111,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",34,"BrM","ABX",2
6221,46,2016-02-10,139,125,79,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"0","P","2015-08-01","Aug","S",1,142,"2015-06-22","2015-09-29",637,"BrM","ABX",2
6230,21,2015-02-02,139,125,30,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-10-29","Oct","W",2,159,"2016-06-23","2016-09-19",28,"AB","ABX",2
6261,30,2015-01-29,144,142,63,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","E","2016-05-01","May","S",1,159,"2016-06-23","2016-09-19",64,"BrM","ABX",2
6267,14,2015-01-30,139,125,477,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","P","2015-07-08","Jul","S",1,142,"2015-06-22","2015-09-29",633,"BrM","ABX",2
6272,0,2015-01-31,139,125,407,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","P","2015-07-30","Jul","S",1,142,"2015-06-22","2015-09-29",637,"BrF","ABX",2
6279,7,2016-03-04,144,142,15,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","E","2016-05-01","May","S",1,159,"2016-06-23","2016-09-19",60,"BrF","ABX",2
6309,13,2015-01-29,142,139,68,"2015-01-16","2015-03-05","2015-06-22","2015-09-29",1,"1","E","2015-12-01","Dec","W",1,144,"2016-02-02","2016-03-09",605,"BrM","AB",2
6312,3,2015-02-04,125,124,138,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"0","E","2014-11-25","Nov","W",2,139,"2015-01-16","2015-03-05",155,"ABX","CH",2
6313,63,2015-02-09,161,159,126,"2016-06-23","2016-09-19","2017-02-07","2017-03-03",1,"1","E","2017-04-27","Apr","W",1,164,"2017-06-21","2017-09-20",127,"BrM","ABX",2
6374,31,2016-02-05,159,144,480,"2016-02-02","2016-03-09","2016-06-23","2016-09-19",1,"1","E","2016-11-28","Nov","W",1,161,"2017-02-07","2017-03-03",740,"BrM","H",2
6378,53,2016-09-07,159,144,179,"2016-02-02","2016-03-09","2016-06-23","2016-09-19",1,"0","P","2016-02-12","Feb","W",2,144,"2016-02-02","2016-03-09",662,"ABX","H",2
6382,119,2016-02-24,144,142,53,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","E","2016-05-01","May","S",1,159,"2016-06-23","2016-09-19",50,"BrM","ABX",2
6384,22,2016-02-05,144,142,111,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","E","2016-05-01","May","S",1,159,"2016-06-23","2016-09-19",110,"BrM","ABX",2
6385,60,2019-08-19,144,142,616,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"0","E","2016-08-23","Aug","S",1,161,"2017-02-07","2017-03-03",2,"BrM","ABX",2
