"BirdID","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2"
5285,308.958333333333,308.958333333333,2008-06-15,2008-06-15,NA,NA,2009,2008,2008
5290,NA,NA,2008-10-23,2008-07-07,1,1,NA,2008,2008
5291,661.958333333333,761.958333333333,2008-10-23,2008-07-15,NA,NA,2010,2008,2008
5313,613,613,2009-05-29,2009-05-29,NA,NA,2011,2009,2009
5319,319,319,2009-03-25,2009-03-25,NA,NA,2010,2009,2009
5321,326,326,2009-03-18,2009-03-18,NA,NA,2010,2009,2009
5323,344,383,2009-02-28,2009-01-20,NA,NA,2010,2009,2009
5326,NA,NA,2009-03-03,2009-01-23,1,1,NA,2009,2009
5333,265,265,2009-05-18,2009-05-18,NA,NA,2010,2009,2009
5334,412.958333333333,412.958333333333,2009-03-22,2009-03-22,NA,NA,2010,2009,2009
5337,629,548,2009-05-13,2009-08-02,NA,NA,2011,2009,2009
5338,389.958333333333,389.958333333333,2009-04-14,2009-04-14,NA,NA,2010,2009,2009
5339,804.958333333333,804.958333333333,2009-05-29,2009-05-29,NA,NA,2011,2009,2009
5450,344.958333333333,344.958333333333,2009-05-29,2009-05-29,NA,NA,2010,2009,2009
5456,350.958333333333,350.958333333333,2009-08-11,2009-08-11,NA,NA,2010,2009,2009
5462,529,529,2009-08-21,2009-08-21,NA,NA,2011,2009,2009
5497,193.958333333333,261.958333333333,2009-10-27,2009-08-20,NA,NA,2010,2009,2009
5498,471,532,2009-10-18,2009-08-18,NA,NA,2011,2009,2009
5508,84,168,2009-11-15,2009-08-23,NA,NA,2010,2009,2009
5510,NA,NA,2009-11-09,2009-08-27,1,1,NA,2009,2009
5511,300,300,2010-04-07,2010-04-07,NA,NA,2011,2010,2010
5513,445,537,2009-11-13,2009-08-13,NA,NA,2011,2009,2009
5514,445,530,2009-11-13,2009-08-20,NA,NA,2011,2009,2009
5516,446,531,2009-11-12,2009-08-19,NA,NA,2011,2009,2009
5517,NA,NA,2009-11-12,2009-11-12,1,1,NA,2009,2009
5518,453,616,2009-11-05,2009-05-26,NA,NA,2011,2009,2009
5519,93,165,2009-11-06,2009-08-26,NA,NA,2010,2009,2009
5520,NA,NA,2009-11-07,2009-08-17,0,0,NA,2009,2009
5521,450,614,2009-11-08,2009-05-28,NA,NA,2011,2009,2009
5522,442,442,2009-11-16,2009-11-16,NA,NA,2011,2009,2009
5523,442,442,2009-11-16,2009-11-16,NA,NA,2011,2009,2009
5525,83,176,2009-11-16,2009-08-15,NA,NA,2010,2009,2009
5527,NA,NA,2010-03-18,2010-03-18,0,0,NA,2010,2010
5529,737,828,2009-11-20,2009-08-21,NA,NA,2011,2009,2009
5530,429,531,2009-11-29,2009-08-19,NA,NA,2011,2009,2009
5533,313,313,2010-03-25,2010-03-25,NA,NA,2011,2010,2010
5534,613,613,2010-03-24,2010-03-24,NA,NA,2011,2010,2010
5536,476.958333333333,476.958333333333,2010-03-28,2010-03-28,NA,NA,2011,2010,2010
5537,433,530,2009-11-25,2009-08-20,NA,NA,2011,2009,2009
5538,NA,NA,2009-12-09,2009-12-09,0,0,NA,2009,2009
