"BirdID","NatalTerritory","Status","FieldPeriodID","PeriodStart","PeriodEnd"
"6267","477","CH","125",2014-06-16,2014-10-04
"6268","39","CH","125",2014-06-16,2014-10-04
"6272","407","CH","125",2014-06-16,2014-10-04
"6273","112","CH","125",2014-06-16,2014-10-04
"6279","15","CH","125",2014-06-16,2014-10-04
"6309","68","CH","125",2014-06-16,2014-10-04
"6312","138","CH","125",2014-06-16,2014-10-04
"6313","126","CH","125",2014-06-16,2014-10-04
"6374","480","CH","142",2015-06-22,2015-09-29
"6378","179","CH","142",2015-06-22,2015-09-29
"6382","53","CH","139",2015-01-16,2015-03-05
"6384","111","CH","139",2015-01-16,2015-03-05
"6385","616","CH","139",2015-01-16,2015-03-05
"6546","75","CH","142",2015-06-22,2015-09-29
"6548","71","CH","142",2015-06-22,2015-09-29
"6549","20","CH","142",2015-06-22,2015-09-29
"6551","80","CH","142",2015-06-22,2015-09-29
"6552","58","CH","142",2015-06-22,2015-09-29
"6554","83","CH","142",2015-06-22,2015-09-29
"6556","99","CH","142",2015-06-22,2015-09-29
"6557","36","CH","142",2015-06-22,2015-09-29
"6560","165","CH","142",2015-06-22,2015-09-29
"6563","24","CH","144",2016-02-02,2016-03-09
"6564","81","CH","142",2015-06-22,2015-09-29
"6565","154","CH","139",2015-01-16,2015-03-05
"6566","160","CH","139",2015-01-16,2015-03-05
"6567","165","BrM","144",2016-02-02,2016-03-09
"6568","605","CH","142",2015-06-22,2015-09-29
"6571","13","CH","142",2015-06-22,2015-09-29
"6573","129","CH","142",2015-06-22,2015-09-29
"6645","27","CH","144",2016-02-02,2016-03-09
"6660","618","CH","142",2015-06-22,2015-09-29
"6673","407","CH","142",2015-06-22,2015-09-29
"6690","126","CH","159",2016-06-23,2016-09-19
"6693","481","CH","159",2016-06-23,2016-09-19
"6697","13","CH","159",2016-06-23,2016-09-19
"6764","57","CH","164",2017-06-21,2017-09-20
"6777","616","CH","164",2017-06-21,2017-09-20
"6780","94","CH","164",2017-06-21,2017-09-20
"6831","172","CH","164",2017-06-21,2017-09-20
"6836","617","CH","164",2017-06-21,2017-09-20
"6845","662","CH","166",2018-01-30,2018-03-14
"6857","1","CH","166",2018-01-30,2018-03-14
"6859","2","CH","166",2018-01-30,2018-03-14
"6863","746","OFL","167",2018-06-19,2018-09-22
"6865","43","H","167",2018-06-19,2018-09-22
"6877","481","OFL","167",2018-06-19,2018-09-22
"6882","738","OFL","167",2018-06-19,2018-09-22
"6884","47","CH","164",2017-06-21,2017-09-20
"6886","58","FL","167",2018-06-19,2018-09-22
"6900","15","CH","166",2018-01-30,2018-03-14
"6909","8","CH","166",2018-01-30,2018-03-14
"6910","616","FL","167",2018-06-19,2018-09-22
"6921","70","FL","167",2018-06-19,2018-09-22
"6926","20","FL","167",2018-06-19,2018-09-22
"7071","24","ABX","171",2019-01-21,2019-03-09
"7074","16","OFL","171",2019-01-21,2019-03-09
"7077","72","OFL","171",2019-01-21,2019-03-09
"7079","516","OFL","171",2019-01-21,2019-03-09
"7080","137","OFL","171",2019-01-21,2019-03-09
"7084","3","OFL","171",2019-01-21,2019-03-09
"7086","2","ABX","171",2019-01-21,2019-03-09
"7091","58","OFL","171",2019-01-21,2019-03-09
"7093","480","BrF","173",2019-06-10,2019-09-23
"7094","111","ABX","171",2019-01-21,2019-03-09
"7096","53","ABX","171",2019-01-21,2019-03-09
"7097","45","OFL","171",2019-01-21,2019-03-09
"7116","618","ABX","174",2020-02-05,2020-03-16
"7131","179","ABX","174",2020-02-05,2020-03-16
"7132","109","ABX","174",2020-02-05,2020-03-16
"7133","55","ABX","174",2020-02-05,2020-03-16
"7144","9","ABX","174",2020-02-05,2020-03-16
