mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_Terr,dad_FPID,mum_Terr
1043_82,5122,1043,1412,0.99,82,14/06/2007,16/09/2007,108,1412_82,108
1043_87,5291,1043,3696,1,87,10/07/2008,07/09/2008,108,3696_87,108
1049_23,1298,1049,636,0.999,23,20/12/1997,28/03/1998,81,636_23,81
1049_25,1363,1049,776,1,25,20/06/1998,27/09/1998,81,776_25,81
1049_27,1422,1049,632,1,27,09/04/1999,04/05/1999,81,632_27,81
1049_40,1709,1049,1608,1,40,29/06/2001,26/07/2001,81,1608_40,81
1049_41,1685,1049,NA,0.657,41,11/07/2002,02/10/2002,81,NA_41,81
1059_28,1514,1059,494,0.999,28,02/07/1999,26/09/1999,18,494_28,18
1059_30,1848,1059,1666,0.98,30,06/06/2003,02/09/2003,18,1666_30,28
1059_30,1848,1059,1666,0.98,30,06/06/2003,02/09/2003,18,1666_30,18
1059_39,1591,1059,1020,0.999,39,25/07/2000,13/08/2000,18,1020_39,18
1059_40,1665,1059,494,1,40,29/06/2001,26/07/2001,18,494_40,18
1130_39,1615,1130,1356,1,39,25/07/2000,13/08/2000,55,1356_39,55
