"mum_FPID" "id" "mum" "dad" "p" "FPID" "O_Terr" "dad_FPID" "MumStatus" "mum_Terr"
"64" "1155_41" "1785" "1155" "453" "1" 41 112 "453_41" "Dom" 112
"65" "1155_54" "4802" "1155" "1808" "1" 54 112 "1808_54" "Dom" 112
"66" "1155_75" "4972" "1155" "1808" "1" 75 112 "1808_75" "Dom" 112
"67" "1158_25" "1366" "1158" "1041" "0.906" 25 52.1 "1041_25" "Sub" 52.1
"68" "1158_40" "1711" "1158" "1396" "1" 40 52.1 "1396_40" "Dom" 52.1
"69" "1160_28" "1566" "1160" "1179" "0.998" 28 78 "1179_28" "Dom" 78
"70" "1160_28" "1496" "1160" "1047" "1" 28 78 "1047_28" "Dom" 78
"71" "1161_39" "1581" "1161" "525" "1" 39 67 "525_39" "Dom" 67
"72" "1161_39" "1582" "1161" "849" "1" 39 67 "849_39" "Dom" 67
"73" "1170_30" "1889" "1170" "1609" "0.996" 30 64 "1609_30" "Dom" 64
"74" "1170_34" "3006" "1170" "1871" "1" 34 64 "1871_34" "Dom" 64
"75" "1170_37" "3597" "1170" "1579" "1" 37 64 "1579_37" "Dom" 64
"76" "1170_39" "1610" "1170" "917" "1" 39 64 "917_39" "Dom" 64
"77" "1170_39" "1579" "1170" "1063" "1" 39 64 "1063_39" "Dom" 64
"78" "1170_75" "4908" "1170" "1524" "1" 75 64 "1524_75" "Dom" 64
"79" "1170_82" "5157" "1170" "1877" "0.995" 82 64 "1877_82" "Dom" 64
"80" "1170_85" "5266" "1170" "1877" "0.998" 85 64 "1877_85" "Dom" 64
"81" "1172_23" "1430" "1172" "1171" "1" 23 94.1 "1171_23" "Dom" 94.1
"82" "1172_41" "1823" "1172" "1171" "1" 41 94.1 "1171_41" "Dom" 94.1
"83" "1172_41" "1821" "1172" "1171" "1" 41 94.1 "1171_41" "Dom" 94.1
"84" "1172_41" "1791" "1172" "544" "1" 41 94.1 "544_41" "Dom" 94.1
"85" "1172_77" "4958" "1172" "1171" "1" 77 94.1 "1171_77" "Dom" 94.1
"86" "1172_82" "5148" "1172" "1171" "1" 82 94.1 "1171_82" "Dom" 94.1
"87" "1173_22" "3793" "1173" "1041" "0.999" 22 53.1 "1041_22" "Dom" 53.1
"88" "1173_23" "1294" "1173" "1041" "1" 23 53.1 "1041_23" "Dom" 53.1
"89" "1173_25" "1364" "1173" "1159" "1" 25 53.1 "1159_25" "Dom" 53.1
"90" "1177_22" "1395" "1177" "824" "0.703" 22 109 "824_22" "Dom" 109
"91" "1177_23" "1305" "1177" "854" "0.996" 23 109 "854_23" "Dom" 109
