"TerritoryID","FieldPeriodID","TQ"
39,82,4072.932468
39,87,1390.206315
39,92,3990.238131
39,104,10357.30578
39,105,42700.41813
39,116,9061.506484
39,122,12129.81491
39,125,11329.78559
39,142,10870.86624
39,159,10727.87686
39,164,39849.22668
39,167,3979.291408
39,173,19834.85121
40,2,19200.5807
40,3,19200.5807
40,4,19200.5807
40,5,19200.5807
40,6,19200.5807
40,7,19200.5807
40,10,19200.5807
40,12,19200.5807
40,14,28153.70251
40,16,28153.70251
40,17,28153.70251
40,19,28153.70251
40,21,37106.82432
40,22,65914.79689
40,25,28484.55514
40,27,29301.275905
40,28,30117.99667
40,39,17011.455516
40,40,17011.455516
40,41,17011.455516
40,30,3904.914362
40,32,5262.661767
40,34,6620.409172
40,37,7641.5755
40,75,8662.741828
40,82,2827.091982
40,87,7726.235525
40,92,15488.72401
40,104,9633.054806
40,105,14287.26725
40,116,3390.557377
40,122,4456.087206
40,125,4432.197571
40,142,25184.26502
40,159,14547.0647
40,164,50547.63906
40,167,7310.687962
40,173,51087.02846
41,2,20987.09067
41,3,20987.09067
41,4,20987.09067
41,5,20987.09067
41,6,20987.09067
41,7,20987.09067
41,10,20987.09067
41,12,20987.09067
41,14,26565.58905
41,16,26565.58905
41,17,26565.58905
41,19,26565.58905
41,21,32144.08743
41,116,12268.89416
41,122,18766.66143
41,125,52619.12497
41,142,44107.22056
41,159,36084.77897
41,164,110496.7649
41,167,13140.27016
41,173,19419.50479
42,21,99126.94
42,22,99126.94
42,25,41120.85803
42,27,45771.60847
42,28,50422.35891
42,39,48767.25942
42,40,48767.25942
42,41,48767.25942
42,30,47112.15993
42,32,27023.479999
42,34,6934.800068
42,37,13817.195134
42,75,20699.5902
42,82,12325.47537
42,87,10854.8448
42,92,16066.60745
42,104,24669.84982
42,105,60448.81223
42,116,60448.81223
43,22,25039.61849
43,25,42200.29462
43,27,28501.25915
43,28,14802.22368
43,39,31209.821405
43,40,31209.821405
43,41,31209.821405
43,30,47617.41913
43,32,28551.477746
43,34,9485.536362
43,37,11014.750101
43,75,12543.96384
43,82,11438.16193
43,87,7553.768545
43,92,17165.74838
43,104,25237.1763
43,105,52388.50364
43,116,7317.025864
43,122,4707.346229
43,125,2097.666594
43,142,8968.883273
43,159,17952.06042
43,164,68848.73364
43,167,11059.06707
43,173,12941.38551
44,2,34008.20134
44,3,34008.20134
44,4,34008.20134
44,5,34008.20134
44,6,34008.20134
44,7,34008.20134
44,10,34008.20134
44,12,34008.20134
44,14,65441.4856
44,16,65441.4856
44,17,65441.4856
44,19,65441.4856
44,21,96874.76986
44,25,20010.81299
45,3,22732.48254
45,4,22732.48254
45,5,22732.48254
45,6,22732.48254
45,7,22732.48254
45,10,22732.48254
45,12,22732.48254
45,14,49918.50431
45,16,49918.50431
45,17,49918.50431
45,19,49918.50431
45,21,77104.52608
45,22,115986.4131
45,25,39021.19513
45,27,42957.747835
45,28,46894.30054
45,39,33012.301055
45,40,33012.301055
45,41,33012.301055
45,30,19130.30157
45,32,11635.838954
45,34,4141.376338
45,37,6539.8701335
45,75,8938.363929
45,82,8838.058145
45,87,7566.835866
45,92,12031.32191
45,104,17355.30255
45,105,31038.41371
45,116,5180.804662
45,122,15469.56886
45,125,9058.927793
45,142,20678.18662
45,159,21652.92916
45,164,127889.2299
45,167,16757.83211
45,173,20760.97597
46,41,18534.37997
46,30,18534.37997
46,32,16540.741765
46,34,16540.741765
46,37,16540.741765
46,75,14547.10356
46,82,7731.791014
46,87,8501.437478
46,92,19771.41676
46,104,20869.10557
46,105,50775.51759
46,116,18560.02152
46,122,38460.05025
46,125,22826.23116
46,142,22786.57397
46,159,27887.05314
46,164,107245.8674
46,167,12300.19838
46,173,18954.11067
47,4,43798.99832
47,5,43798.99832
47,6,43798.99832
47,7,43798.99832
47,10,43798.99832
47,12,43798.99832
47,17,67259.31756
47,19,67259.31756
47,21,90719.6368
47,22,89665.00841
47,25,45129.98236
47,27,84969.84453
47,28,124809.7067
47,39,67227.1205135
47,40,67227.1205135
47,41,67227.1205135
47,30,9644.534327
47,32,8673.3324715
47,34,7702.130616
47,37,9950.693183
47,75,12199.25575
47,82,8033.498043
47,87,3599.945181
47,92,14363.7138
47,104,53869.95534
47,105,42565.27361
47,116,27365.83253
47,122,35281.02045
47,125,26462.95424
47,142,33821.6917
47,159,28757.71638
47,164,91605.36177
47,167,19716.61701
47,173,22999.12616
48,21,59309.68422
48,22,68299.32416
48,25,57714.46911
48,27,45029.80091
48,28,32345.13271
48,39,21124.1399325
48,40,21124.1399325
48,41,21124.1399325
48,30,9903.147155
48,32,8670.9585555
48,34,7438.769956
48,37,10894.960123
48,75,14351.15029
48,82,14192.29819
48,87,9851.348549
48,92,9797.576001
48,104,16440.48714
48,105,19474.74608
48,116,17830.2528
48,122,40408.58072
48,125,23519.05109
48,142,25565.8359
48,159,13180.47485
48,164,11107.4174625
48,167,9034.360075
48,173,7351.567379
49,4,13227.98937
49,5,13227.98937
49,6,13227.98937
49,7,13227.98937
49,10,13227.98937
49,12,13227.98937
49,17,36343.769205
49,19,36343.769205
49,21,59459.54904
49,22,126184.1246
49,25,44233.84755
49,27,86260.005325
49,28,128286.1631
49,39,71653.869805
49,40,71653.869805
49,41,71653.869805
49,30,15021.57651
50,40,7690.163908
50,41,7690.163908
50,30,7690.163908
50,32,7197.86157
50,34,6705.559232
50,37,7579.9525415
50,75,8454.345851
50,82,9248.425867
50,87,6402.516632
50,92,14395.74816
50,104,15633.38449
50,105,31376.00397
50,116,6670.282722
50,122,20144.85763
50,125,8650.364626
50,142,23798.3679
50,159,12942.86654
50,164,58838.35078
50,167,10646.86252
50,173,23735.31463
51,5,33384.18241
51,6,33384.18241
51,7,33384.18241
51,10,33384.18241
51,12,33384.18241
51,14,53390.504415
51,19,53390.504415
51,21,73396.82642
51,22,126008.9824
51,25,45916.2955
51,27,92290.7429
51,28,138665.1903
51,39,77142.742575
51,40,77142.742575
51,41,77142.742575
51,30,15620.29485
51,32,15052.939195
51,34,14485.58354
51,37,12645.54049
51,75,10805.49744
51,82,12653.08418
51,87,5214.878409
51,92,18476.04108
51,104,28835.48319
51,105,32559.81754
51,116,13995.17363
51,122,43215.962
51,125,38566.46254
52,2,17484.29749
52,3,17484.29749
52,4,17484.29749
52,5,17484.29749
52,6,17484.29749
52,7,17484.29749
52,10,17484.29749
52,12,17484.29749
52,14,24752.74955
52,16,24752.74955
52,17,24752.74955
52,19,24752.74955
52,21,32021.20161
52,22,65338.04155
52,25,24722.74236
52,27,27720.675615
52,28,30718.60887
52,39,27032.2446
52,40,27032.2446
52,41,27032.2446
52,30,23345.88033
52,32,23345.88033
53,5,14071.92426
53,6,14071.92426
53,7,14071.92426
53,10,14071.92426
53,12,14071.92426
53,14,28717.475165
53,16,28717.475165
53,17,28717.475165
53,19,28717.475165
53,21,43363.02607
53,22,72766.80497
53,25,35118.93367
53,27,39225.246125
53,28,43331.55858
53,39,52568.51958
53,40,52568.51958
53,41,52568.51958
53,30,61805.48058
53,32,33256.7600535
53,34,4708.039527
53,37,10880.9320035
53,75,17053.82448
53,82,20740.24034
53,87,12165.11343
53,92,25087.20779
53,104,29769.57144
53,105,54153.30042
53,116,34102.37403
53,122,62059.00106
53,125,25004.96826
53,142,34691.84938
53,159,26150.33723
53,164,103883.7759
53,167,15901.36756
53,173,18628.94
54,2,18343.84956
54,3,18343.84956
54,4,18343.84956
54,5,18343.84956
54,6,18343.84956
54,7,18343.84956
54,10,18343.84956
54,12,18343.84956
54,16,40160.52391
54,17,40160.52391
54,19,40160.52391
54,21,61977.19826
54,22,49195.62367
54,25,33232.9066
54,27,37162.0413
54,28,41091.176
54,39,27788.534565
54,40,27788.534565
54,41,27788.534565
54,30,14485.89313
54,32,9709.573708
54,34,4933.254286
54,37,6153.520184
54,75,7373.786082
54,82,11598.91332
54,87,4896.731336
54,92,18511.15224
54,104,30601.09382
54,105,89396.54751
54,116,0
55,2,35720.31198
55,3,35720.31198
55,4,35720.31198
55,5,35720.31198
55,6,35720.31198
55,7,35720.31198
55,10,35720.31198
55,12,35720.31198
55,14,73215.91514
55,16,73215.91514
55,17,73215.91514
55,19,73215.91514
